,Main dimension,Subdimension,Sub-subdimension,Feature,Sub Field,Sample Size
735,Brain,MRI,AllScalars,Weighted-mean ICVF in tract superior thalamic radiation (right),-,38932
736,Brain,MRI,AllScalars,Weighted-mean ICVF in tract uncinate fasciculus (left),-,38932
737,Brain,MRI,AllScalars,Weighted-mean ICVF in tract uncinate fasciculus (right),-,38932
738,Brain,MRI,AllScalars,Weighted-mean OD in tract acoustic radiation (left),-,38932
739,Brain,MRI,AllScalars,Weighted-mean OD in tract acoustic radiation (right),-,38932
740,Brain,MRI,AllScalars,Weighted-mean OD in tract anterior thalamic radiation (left),-,38932
741,Brain,MRI,AllScalars,Weighted-mean OD in tract anterior thalamic radiation (right),-,38932
742,Brain,MRI,AllScalars,Weighted-mean OD in tract cingulate gyrus part of cingulum (left),-,38932
743,Brain,MRI,AllScalars,Weighted-mean OD in tract cingulate gyrus part of cingulum (right),-,38932
744,Brain,MRI,AllScalars,Weighted-mean OD in tract parahippocampal part of cingulum (left),-,38932
745,Brain,MRI,AllScalars,Weighted-mean OD in tract parahippocampal part of cingulum (right),-,38932
746,Brain,MRI,AllScalars,Weighted-mean OD in tract corticospinal tract (left),-,38932
747,Brain,MRI,AllScalars,Weighted-mean OD in tract corticospinal tract (right),-,38932
748,Brain,MRI,AllScalars,Weighted-mean OD in tract forceps major,-,38932
749,Brain,MRI,AllScalars,Weighted-mean OD in tract forceps minor,-,38932
750,Brain,MRI,AllScalars,Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),-,38932
751,Brain,MRI,AllScalars,Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),-,38932
752,Brain,MRI,AllScalars,Weighted-mean OD in tract inferior longitudinal fasciculus (left),-,38932
753,Brain,MRI,AllScalars,Weighted-mean OD in tract inferior longitudinal fasciculus (right),-,38932
754,Brain,MRI,AllScalars,Weighted-mean OD in tract middle cerebellar peduncle,-,38932
755,Brain,MRI,AllScalars,Weighted-mean OD in tract medial lemniscus (left),-,38932
756,Brain,MRI,AllScalars,Weighted-mean OD in tract medial lemniscus (right),-,38932
757,Brain,MRI,AllScalars,Weighted-mean OD in tract posterior thalamic radiation (left),-,38932
758,Brain,MRI,AllScalars,Weighted-mean OD in tract posterior thalamic radiation (right),-,38932
759,Brain,MRI,AllScalars,Weighted-mean OD in tract superior longitudinal fasciculus (left),-,38932
760,Brain,MRI,AllScalars,Weighted-mean OD in tract superior longitudinal fasciculus (right),-,38932
761,Brain,MRI,AllScalars,Weighted-mean OD in tract superior thalamic radiation (left),-,38932
762,Brain,MRI,AllScalars,Weighted-mean OD in tract superior thalamic radiation (right),-,38932
763,Brain,MRI,AllScalars,Weighted-mean OD in tract uncinate fasciculus (left),-,38932
764,Brain,MRI,AllScalars,Weighted-mean OD in tract uncinate fasciculus (right),-,38932
765,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract acoustic radiation (left),-,38932
766,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract acoustic radiation (right),-,38932
767,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract anterior thalamic radiation (left),-,38932
768,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract anterior thalamic radiation (right),-,38932
769,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),-,38932
770,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),-,38932
771,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract parahippocampal part of cingulum (left),-,38932
772,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),-,38932
773,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract corticospinal tract (left),-,38932
774,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract corticospinal tract (right),-,38932
775,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract forceps major,-,38932
776,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract forceps minor,-,38932
777,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),-,38932
778,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right),-,38932
779,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),-,38932
780,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),-,38932
781,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract middle cerebellar peduncle,-,38932
782,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract medial lemniscus (left),-,38932
783,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract medial lemniscus (right),-,38932
784,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract posterior thalamic radiation (left),-,38932
785,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract posterior thalamic radiation (right),-,38932
786,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),-,38932
787,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),-,38932
788,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract superior thalamic radiation (left),-,38932
789,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract superior thalamic radiation (right),-,38932
790,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract uncinate fasciculus (left),-,38932
791,Brain,MRI,AllScalars,Weighted-mean ISOVF in tract uncinate fasciculus (right),-,38932
792,Brain,Cognitive,ReactionTime,Mean time to correctly identify matches,-,565600
793,Brain,Cognitive,ReactionTime,Mean time to press snap-button,-,561903
794,Brain,Cognitive,ReactionTime,Cards are matching,-,565600
795,Brain,Cognitive,ReactionTime,Cards are matching,1,565600
796,Brain,Cognitive,ReactionTime,Cards are matching,2,565600
797,Brain,Cognitive,ReactionTime,Cards are matching,3,565600
798,Brain,Cognitive,ReactionTime,Cards are matching,4,565600
799,Brain,Cognitive,ReactionTime,Cards are matching,5,565600
800,Brain,Cognitive,ReactionTime,Cards are matching,6,565600
801,Brain,Cognitive,ReactionTime,Cards are matching,7,565600
802,Brain,Cognitive,ReactionTime,Cards are matching,8,565600
803,Brain,Cognitive,ReactionTime,Cards are matching,9,565600
804,Brain,Cognitive,ReactionTime,Cards are matching,10,565600
805,Brain,Cognitive,ReactionTime,Cards are matching,11,565600
806,Brain,Cognitive,MatrixPatternCompletion,Unnamed: 0,-,36089
807,Brain,Cognitive,MatrixPatternCompletion,Number of puzzles correctly solved,-,36089
808,Brain,Cognitive,MatrixPatternCompletion,Number of puzzles viewed,-,36089
809,Brain,Cognitive,MatrixPatternCompletion,Mean time to solve puzzles,-,36084
810,Brain,Cognitive,TowerRearranging,Number of puzzles attempted,-,36520
811,Brain,Cognitive,TowerRearranging,Number of puzzles correct,-,35781
812,Brain,Cognitive,SymbolDigitSubstitution,Number of symbol digit matches attempted,-,36069
813,Brain,Cognitive,SymbolDigitSubstitution,Number of symbol digit matches made correctly,-,36069
814,Brain,Cognitive,PairedAssociativeLearning,Number of word pairs correctly associated,-,36520
815,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""huge""",Prefer not to answer,36520
816,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""huge""",car,36520
817,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""huge""",plant,36520
818,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""huge""",house,36520
819,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""huge""",trousers,36520
820,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""happy""",Prefer not to answer,36520
821,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""happy""",dog,36520
822,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""happy""",elephant,36520
823,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""happy""",cat,36520
824,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""happy""",clown,36520
825,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tattered""",Prefer not to answer,36520
826,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tattered""",dress,36520
827,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tattered""",house,36520
828,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tattered""",plant,36520
829,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tattered""",curtains,36520
830,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""old""",Prefer not to answer,36520
831,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""old""",car,36520
832,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""old""",cat,36520
833,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""old""",house,36520
834,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""old""",elephant,36520
835,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""long""",Prefer not to answer,36520
836,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""long""",dress,36520
837,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""long""",curtains,36520
838,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""long""",car,36520
839,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""long""",trousers,36520
840,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""sulking""",Prefer not to answer,36520
841,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""sulking""",dog,36520
842,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""sulking""",elephant,36520
843,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""sulking""",clown,36520
844,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""sulking""",cat,36520
845,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""pretty""",Prefer not to answer,36520
846,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""pretty""",cat,36520
847,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""pretty""",dress,36520
848,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""pretty""",dish,36520
849,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""pretty""",plant,36520
850,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tiny""",Prefer not to answer,36520
851,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tiny""",dress,36520
852,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tiny""",house,36520
853,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tiny""",dog,36520
854,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""tiny""",cat,36520
855,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""new""",Prefer not to answer,36520
856,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""new""",plant,36520
857,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""new""",curtains,36520
858,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""new""",house,36520
859,Brain,Cognitive,PairedAssociativeLearning,"Word associated with ""new""",dress,36520
860,Brain,Cognitive,ProspectiveMemory,Test completion status,-,240918
861,Brain,Cognitive,ProspectiveMemory,Time to answer,-,240918
862,Brain,Cognitive,ProspectiveMemory,Number of attempts,-,240917
863,Brain,Cognitive,ProspectiveMemory,Final attempt correct,-,240918
864,Brain,Cognitive,ProspectiveMemory,Prospective memory result,-,240918
865,Brain,Cognitive,ProspectiveMemory,PM: initial answer,Participant skipped/abandonded,240918
866,Brain,Cognitive,ProspectiveMemory,PM: initial answer,Blue square,240918
867,Brain,Cognitive,ProspectiveMemory,PM: initial answer,Pink star,240918
868,Brain,Cognitive,ProspectiveMemory,PM: initial answer,Grey cross,240918
869,Brain,Cognitive,ProspectiveMemory,PM: initial answer,Orange circle,240918
870,Brain,Cognitive,ProspectiveMemory,PM: final answer,Participant skipped/abandonded,240918
871,Brain,Cognitive,ProspectiveMemory,PM: final answer,Pink star,240918
872,Brain,Cognitive,ProspectiveMemory,PM: final answer,Grey cross,240918
873,Brain,Cognitive,ProspectiveMemory,PM: final answer,Orange circle,240918
874,Brain,Cognitive,NumericMemory,Maximum digits remembered correctly,-,87178
875,Brain,Cognitive,NumericMemory,Number of rounds of numeric memory test performed,-,88786
876,Brain,Cognitive,NumericMemory,Time to complete test,-,89199
877,Brain,Cognitive,FluidIntelligence,Attempted fluid intelligence (FI) test,-,237298
878,Brain,Cognitive,FluidIntelligence,Fluid intelligence score,-,233652
879,Brain,Cognitive,FluidIntelligence,Number of fluid intelligence questions attempted within time limit,-,233652
880,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,Prefer not to answer,233652
881,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,Do not know,233652
882,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,13,233652
883,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,14,233652
884,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,15,233652
885,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,16,233652
886,Brain,Cognitive,FluidIntelligence,FI1 : numeric addition test,17,233652
887,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,Prefer not to answer,233253
888,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,Do not know,233253
889,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,253,233253
890,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,308,233253
891,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,642,233153
892,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,714,233153
893,Brain,Cognitive,FluidIntelligence,FI2 : identify largest number,987,233153
894,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Prefer not to answer,233009
895,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Do not know,233009
896,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Grow,233009
897,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Develop,233009
898,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Improve,233009
899,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Adult,233009
900,Brain,Cognitive,FluidIntelligence,FI3 : word interpolation,Old,233009
901,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,Prefer not to answer,232591
902,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,Do not know,232591
903,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,5,232591
904,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,6,232591
905,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,7,232591
906,Brain,Cognitive,FluidIntelligence,FI4 : positional arithmetic,8,232591
907,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Prefer not to answer,227004
908,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Do not know,227004
909,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Aunt,227004
910,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Sister,227004
911,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Niece,227004
912,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,Cousin,227004
913,Brain,Cognitive,FluidIntelligence,FI5 : family relationship calculation,No relation,227004
914,Brain,Cognitive,TrailMaking,Duration to complete numeric path (trail #1),-,36520
915,Brain,Cognitive,TrailMaking,Total errors traversing numeric path (trail #1),-,36520
916,Brain,Cognitive,TrailMaking,Duration to complete alphanumeric path (trail #2),-,36520
917,Brain,Cognitive,TrailMaking,Total errors traversing alphanumeric path (trail #2),-,36520
918,Brain,Cognitive,PairsMatching,Number of columns displayed in round,First round,567279
919,Brain,Cognitive,PairsMatching,Number of columns displayed in round,Second round,567279
920,Brain,Cognitive,PairsMatching,Number of correct matches in round,First round,567279
921,Brain,Cognitive,PairsMatching,Number of correct matches in round,Second round,567279
922,Brain,Cognitive,PairsMatching,Number of incorrect matches in round,First round,567279
923,Brain,Cognitive,PairsMatching,Number of incorrect matches in round,Second round,567279
924,Brain,Cognitive,PairsMatching,Number of rows displayed in round,First round,567279
925,Brain,Cognitive,PairsMatching,Number of rows displayed in round,Second round,567279
926,Brain,Cognitive,PairsMatching,Time to complete round,First round,567279
927,Brain,Cognitive,PairsMatching,Time to complete round,Second round,567279
928,Brain,Cognitive,AllScalars,Mean time to correctly identify matches,-,34391
929,Brain,Cognitive,AllScalars,Mean time to press snap-button,-,34391
930,Brain,Cognitive,AllScalars,Cards are matching,-,34391
931,Brain,Cognitive,AllScalars,Cards are matching,1,34391
932,Brain,Cognitive,AllScalars,Cards are matching,2,34391
933,Brain,Cognitive,AllScalars,Cards are matching,3,34391
934,Brain,Cognitive,AllScalars,Cards are matching,4,34391
935,Brain,Cognitive,AllScalars,Cards are matching,5,34391
936,Brain,Cognitive,AllScalars,Cards are matching,6,34391
937,Brain,Cognitive,AllScalars,Cards are matching,7,34391
938,Brain,Cognitive,AllScalars,Cards are matching,8,34391
939,Brain,Cognitive,AllScalars,Cards are matching,9,34391
940,Brain,Cognitive,AllScalars,Cards are matching,10,34391
941,Brain,Cognitive,AllScalars,Cards are matching,11,34391
942,Brain,Cognitive,AllScalars,Number of puzzles correctly solved,-,34391
943,Brain,Cognitive,AllScalars,Number of puzzles viewed,-,34391
944,Brain,Cognitive,AllScalars,Mean time to solve puzzles,-,34391
945,Brain,Cognitive,AllScalars,Number of puzzles attempted,-,34391
946,Brain,Cognitive,AllScalars,Number of puzzles correct,-,34391
947,Brain,Cognitive,AllScalars,Number of symbol digit matches attempted,-,34391
948,Brain,Cognitive,AllScalars,Number of symbol digit matches made correctly,-,34391
949,Brain,Cognitive,AllScalars,Number of word pairs correctly associated,-,34391
950,Brain,Cognitive,AllScalars,"Word associated with ""huge""",Prefer not to answer,34391
951,Brain,Cognitive,AllScalars,"Word associated with ""huge""",car,34391
952,Brain,Cognitive,AllScalars,"Word associated with ""huge""",plant,34391
953,Brain,Cognitive,AllScalars,"Word associated with ""huge""",house,34391
954,Brain,Cognitive,AllScalars,"Word associated with ""huge""",trousers,34391
955,Brain,Cognitive,AllScalars,"Word associated with ""happy""",Prefer not to answer,34391
956,Brain,Cognitive,AllScalars,"Word associated with ""happy""",dog,34391
957,Brain,Cognitive,AllScalars,"Word associated with ""happy""",elephant,34391
958,Brain,Cognitive,AllScalars,"Word associated with ""happy""",cat,34391
959,Brain,Cognitive,AllScalars,"Word associated with ""happy""",clown,34391
960,Brain,Cognitive,AllScalars,"Word associated with ""tattered""",Prefer not to answer,34391
961,Brain,Cognitive,AllScalars,"Word associated with ""tattered""",dress,34391
962,Brain,Cognitive,AllScalars,"Word associated with ""tattered""",house,34391
963,Brain,Cognitive,AllScalars,"Word associated with ""tattered""",plant,34391
964,Brain,Cognitive,AllScalars,"Word associated with ""tattered""",curtains,34391
965,Brain,Cognitive,AllScalars,"Word associated with ""old""",Prefer not to answer,34391
966,Brain,Cognitive,AllScalars,"Word associated with ""old""",car,34391
967,Brain,Cognitive,AllScalars,"Word associated with ""old""",cat,34391
968,Brain,Cognitive,AllScalars,"Word associated with ""old""",house,34391
969,Brain,Cognitive,AllScalars,"Word associated with ""old""",elephant,34391
970,Brain,Cognitive,AllScalars,"Word associated with ""long""",Prefer not to answer,34391
971,Brain,Cognitive,AllScalars,"Word associated with ""long""",dress,34391
972,Brain,Cognitive,AllScalars,"Word associated with ""long""",curtains,34391
973,Brain,Cognitive,AllScalars,"Word associated with ""long""",car,34391
974,Brain,Cognitive,AllScalars,"Word associated with ""long""",trousers,34391
975,Brain,Cognitive,AllScalars,"Word associated with ""sulking""",Prefer not to answer,34391
976,Brain,Cognitive,AllScalars,"Word associated with ""sulking""",dog,34391
977,Brain,Cognitive,AllScalars,"Word associated with ""sulking""",elephant,34391
978,Brain,Cognitive,AllScalars,"Word associated with ""sulking""",clown,34391
979,Brain,Cognitive,AllScalars,"Word associated with ""sulking""",cat,34391
980,Brain,Cognitive,AllScalars,"Word associated with ""pretty""",Prefer not to answer,34391
981,Brain,Cognitive,AllScalars,"Word associated with ""pretty""",cat,34391
982,Brain,Cognitive,AllScalars,"Word associated with ""pretty""",dress,34391
983,Brain,Cognitive,AllScalars,"Word associated with ""pretty""",dish,34391
984,Brain,Cognitive,AllScalars,"Word associated with ""pretty""",plant,34391
985,Brain,Cognitive,AllScalars,"Word associated with ""tiny""",Prefer not to answer,34391
986,Brain,Cognitive,AllScalars,"Word associated with ""tiny""",dress,34391
987,Brain,Cognitive,AllScalars,"Word associated with ""tiny""",house,34391
988,Brain,Cognitive,AllScalars,"Word associated with ""tiny""",dog,34391
989,Brain,Cognitive,AllScalars,"Word associated with ""tiny""",cat,34391
990,Brain,Cognitive,AllScalars,"Word associated with ""new""",Prefer not to answer,34391
991,Brain,Cognitive,AllScalars,"Word associated with ""new""",plant,34391
992,Brain,Cognitive,AllScalars,"Word associated with ""new""",curtains,34391
993,Brain,Cognitive,AllScalars,"Word associated with ""new""",house,34391
994,Brain,Cognitive,AllScalars,"Word associated with ""new""",dress,34391
995,Brain,Cognitive,AllScalars,Test completion status,-,34391
996,Brain,Cognitive,AllScalars,Time to answer,-,34391
997,Brain,Cognitive,AllScalars,Number of attempts,-,34391
998,Brain,Cognitive,AllScalars,Final attempt correct,-,34391
999,Brain,Cognitive,AllScalars,Prospective memory result,-,34391
1000,Brain,Cognitive,AllScalars,PM: initial answer,Participant skipped/abandonded,34391
1001,Brain,Cognitive,AllScalars,PM: initial answer,Blue square,34391
1002,Brain,Cognitive,AllScalars,PM: initial answer,Pink star,34391
1003,Brain,Cognitive,AllScalars,PM: initial answer,Grey cross,34391
1004,Brain,Cognitive,AllScalars,PM: initial answer,Orange circle,34391
1005,Brain,Cognitive,AllScalars,PM: final answer,Participant skipped/abandonded,34391
1006,Brain,Cognitive,AllScalars,PM: final answer,Pink star,34391
1007,Brain,Cognitive,AllScalars,PM: final answer,Grey cross,34391
1008,Brain,Cognitive,AllScalars,PM: final answer,Orange circle,34391
1009,Brain,Cognitive,AllScalars,Maximum digits remembered correctly,-,34391
1010,Brain,Cognitive,AllScalars,Number of rounds of numeric memory test performed,-,34391
1011,Brain,Cognitive,AllScalars,Time to complete test,-,34391
1012,Brain,Cognitive,AllScalars,Attempted fluid intelligence (FI) test,-,34391
1013,Brain,Cognitive,AllScalars,Fluid intelligence score,-,34391
1014,Brain,Cognitive,AllScalars,Number of fluid intelligence questions attempted within time limit,-,34391
1015,Brain,Cognitive,AllScalars,FI1 : numeric addition test,Prefer not to answer,34391
1016,Brain,Cognitive,AllScalars,FI1 : numeric addition test,Do not know,34391
1017,Brain,Cognitive,AllScalars,FI1 : numeric addition test,13,34391
1018,Brain,Cognitive,AllScalars,FI1 : numeric addition test,14,34391
1019,Brain,Cognitive,AllScalars,FI1 : numeric addition test,15,34391
1020,Brain,Cognitive,AllScalars,FI1 : numeric addition test,16,34391
1021,Brain,Cognitive,AllScalars,FI1 : numeric addition test,17,34391
1022,Brain,Cognitive,AllScalars,FI2 : identify largest number,Prefer not to answer,34391
1023,Brain,Cognitive,AllScalars,FI2 : identify largest number,Do not know,34391
1024,Brain,Cognitive,AllScalars,FI2 : identify largest number,253,34391
1025,Brain,Cognitive,AllScalars,FI2 : identify largest number,308,34391
1026,Brain,Cognitive,AllScalars,FI2 : identify largest number,642,34391
1027,Brain,Cognitive,AllScalars,FI2 : identify largest number,714,34391
1028,Brain,Cognitive,AllScalars,FI2 : identify largest number,987,34391
1029,Brain,Cognitive,AllScalars,FI3 : word interpolation,Prefer not to answer,34391
1030,Brain,Cognitive,AllScalars,FI3 : word interpolation,Do not know,34391
1031,Brain,Cognitive,AllScalars,FI3 : word interpolation,Grow,34391
1032,Brain,Cognitive,AllScalars,FI3 : word interpolation,Develop,34391
1033,Brain,Cognitive,AllScalars,FI3 : word interpolation,Improve,34391
1034,Brain,Cognitive,AllScalars,FI3 : word interpolation,Adult,34391
1035,Brain,Cognitive,AllScalars,FI3 : word interpolation,Old,34391
1036,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,Prefer not to answer,34391
1037,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,Do not know,34391
1038,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,5,34391
1039,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,6,34391
1040,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,7,34391
1041,Brain,Cognitive,AllScalars,FI4 : positional arithmetic,8,34391
1042,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Prefer not to answer,34391
1043,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Do not know,34391
1044,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Aunt,34391
1045,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Sister,34391
1046,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Niece,34391
1047,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,Cousin,34391
1048,Brain,Cognitive,AllScalars,FI5 : family relationship calculation,No relation,34391
1049,Brain,Cognitive,AllScalars,Duration to complete numeric path (trail #1),-,34391
1050,Brain,Cognitive,AllScalars,Total errors traversing numeric path (trail #1),-,34391
1051,Brain,Cognitive,AllScalars,Duration to complete alphanumeric path (trail #2),-,34391
1052,Brain,Cognitive,AllScalars,Total errors traversing alphanumeric path (trail #2),-,34391
1053,Brain,Cognitive,AllScalars,Number of columns displayed in round,First round,34391
1054,Brain,Cognitive,AllScalars,Number of columns displayed in round,Second round,34391
1055,Brain,Cognitive,AllScalars,Number of correct matches in round,First round,34391
1056,Brain,Cognitive,AllScalars,Number of correct matches in round,Second round,34391
1057,Brain,Cognitive,AllScalars,Number of incorrect matches in round,First round,34391
1058,Brain,Cognitive,AllScalars,Number of incorrect matches in round,Second round,34391
1059,Brain,Cognitive,AllScalars,Number of rows displayed in round,First round,34391
1060,Brain,Cognitive,AllScalars,Number of rows displayed in round,Second round,34391
1061,Brain,Cognitive,AllScalars,Time to complete round,First round,34391
1062,Brain,Cognitive,AllScalars,Time to complete round,Second round,34391
1063,Brain,All,Scalars,Volume of thalamus (left),-,41182
1064,Brain,All,Scalars,Volume of thalamus (right),-,41182
1065,Brain,All,Scalars,Volume of caudate (left),-,41182
1066,Brain,All,Scalars,Volume of caudate (right),-,41182
1067,Brain,All,Scalars,Volume of putamen (left),-,41182
1068,Brain,All,Scalars,Volume of putamen (right),-,41182
1069,Brain,All,Scalars,Volume of pallidum (left),-,41182
1070,Brain,All,Scalars,Volume of pallidum (right),-,41182
1071,Brain,All,Scalars,Volume of hippocampus (left),-,41182
1072,Brain,All,Scalars,Volume of hippocampus (right),-,41182
1073,Brain,All,Scalars,Volume of amygdala (left),-,41182
1074,Brain,All,Scalars,Volume of amygdala (right),-,41182
1075,Brain,All,Scalars,Volume of accumbens (left),-,41182
1076,Brain,All,Scalars,Volume of accumbens (right),-,41182
1077,Brain,All,Scalars,Volume of grey matter in Frontal Pole (left),-,41194
1078,Brain,All,Scalars,Volume of grey matter in Frontal Pole (right),-,41194
1079,Brain,All,Scalars,Volume of grey matter in Insular Cortex (left),-,41194
1080,Brain,All,Scalars,Volume of grey matter in Insular Cortex (right),-,41194
1081,Brain,All,Scalars,Volume of grey matter in Superior Frontal Gyrus (left),-,41194
1082,Brain,All,Scalars,Volume of grey matter in Superior Frontal Gyrus (right),-,41194
1083,Brain,All,Scalars,Volume of grey matter in Middle Frontal Gyrus (left),-,41194
1084,Brain,All,Scalars,Volume of grey matter in Middle Frontal Gyrus (right),-,41194
1085,Brain,All,Scalars,"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left)",-,41194
1086,Brain,All,Scalars,"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)",-,41194
1087,Brain,All,Scalars,"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)",-,41194
